name,category,website,free_plan,starting_price,rating,features_count
Notion,project-management,https://www.notion.com,true,0,4.7,32
ClickUp,project-management,https://clickup.com,true,0,4.7,47
Asana,project-management,https://asana.com,true,0,4.4,31
monday.com,project-management,https://monday.com,true,0,4.7,45
Trello,project-management,https://trello.com,true,0,4.4,18
Jira,project-management,https://www.atlassian.com/software/jira,true,0,4.3,42
Basecamp,project-management,https://basecamp.com,true,0,4.1,14
Wrike,project-management,https://www.wrike.com,true,0,4.2,39
Teamwork,project-management,https://www.teamwork.com,true,0,4.4,45
Linear,project-management,https://linear.app,true,0,4.6,22
Height,project-management,https://height.app,true,0,4.8,25
Hive,project-management,https://hive.com,true,0,4.6,40
Smartsheet,project-management,https://www.smartsheet.com,false,9,4.5,35
Airtable,project-management,https://airtable.com,true,0,4.6,27
Todoist,project-management,https://todoist.com,true,0,4.4,43
Miro,project-management,https://miro.com,true,0,4.8,28
Coda,project-management,https://coda.io,true,0,4.7,24
Shortcut (formerly Clubhouse),project-management,https://shortcut.com,true,0,4.3,15
Nifty,project-management,https://niftypm.com,true,0,4.7,15
Zoho Projects,project-management,https://www.zoho.com/projects/,true,0,4.3,15
Salesforce,crm,https://www.salesforce.com,false,25,4.4,15
HubSpot,crm,https://www.hubspot.com,true,0,4.4,15
Pipedrive,crm,https://www.pipedrive.com,false,14,4.3,31
Zoho CRM,crm,https://www.zoho.com/crm/,true,0,4.1,15
Freshsales,crm,https://www.freshworks.com/crm/sales/,true,0,4.5,15
Close,crm,https://close.com,false,49,4.7,15
Copper,crm,https://www.copper.com,false,12,4.5,22
Insightly,crm,https://www.insightly.com,true,0,4.2,15
Keap,crm,https://keap.com,false,299,4.2,38
Streak,crm,https://www.streak.com,true,0,4.5,15
Nutshell,crm,https://www.nutshell.com,false,19,4.3,15
Less Annoying CRM,crm,https://www.lessannoyingcrm.com,false,15,4.9,15
monday CRM,crm,https://monday.com/crm,false,12,4.6,15
Folk,crm,https://www.folk.app,false,24,4.7,15
Capsule CRM,crm,https://capsulecrm.com,true,0,4.7,15
Attio,crm,https://attio.com,true,0,4.8,15
Mailchimp,email-marketing,https://mailchimp.com,true,0,4.4,36
Kit (ConvertKit),email-marketing,https://kit.com,true,0,4.4,15
ActiveCampaign,email-marketing,https://www.activecampaign.com,false,15,4.5,48
Brevo (Sendinblue),email-marketing,https://www.brevo.com,false,9,4.5,15
Klaviyo,email-marketing,https://www.klaviyo.com,true,0,4.6,41
Drip,email-marketing,https://www.drip.com,false,39,4.4,15
AWeber,email-marketing,https://www.aweber.com,true,0,4.2,15
GetResponse,email-marketing,https://www.getresponse.com,true,0,4.2,15
Constant Contact,email-marketing,https://www.constantcontact.com,false,12,4,31
MailerLite,email-marketing,https://www.mailerlite.com,true,0,4.7,15
beehiiv,email-marketing,https://www.beehiiv.com,true,0,4.7,19
Omnisend,email-marketing,https://www.omnisend.com,true,0,4.6,15
Moosend,email-marketing,https://moosend.com,false,9,4.6,15
Campaign Monitor,email-marketing,https://www.campaignmonitor.com,false,12,4.1,15
Sender,email-marketing,https://www.sender.net,true,0,4.4,15
Flodesk,email-marketing,https://flodesk.com,true,0,4,15
Buttondown,email-marketing,https://buttondown.com,true,0,4.6,15
Loops,email-marketing,https://loops.so,true,0,4.8,15
WordPress.com,website-builders,https://wordpress.com,true,0,4.4,48
Wix,website-builders,https://www.wix.com,true,0,4.2,38
Squarespace,website-builders,https://www.squarespace.com,false,16,4.4,15
Webflow,website-builders,https://webflow.com,true,0,4.4,33
Framer,website-builders,https://www.framer.com,true,0,4.5,15
Carrd,website-builders,https://carrd.co,true,0,4.5,15
Ghost,website-builders,https://ghost.org,false,15,4.1,15
Shopify,website-builders,https://www.shopify.com,false,39,4.4,44
Weebly,website-builders,https://www.weebly.com,true,0,4.2,15
Duda,website-builders,https://www.duda.co,false,25,4.6,15
Webnode,website-builders,https://www.webnode.com,true,0,3.9,15
Strikingly,website-builders,https://www.strikingly.com,true,0,4.1,15
10Web,website-builders,https://10web.io,false,10,4.6,15
Super,website-builders,https://super.so,true,0,4.5,15
Typedream,website-builders,https://typedream.com,true,0,4.4,15
Unicorn Platform,website-builders,https://unicornplatform.com,true,0,4.7,15
Amazon Web Services (AWS),cloud-hosting,https://aws.amazon.com,true,0,4.5,67
Cloudways,cloud-hosting,https://www.cloudways.com,false,14,4.5,15
DigitalOcean,cloud-hosting,https://www.digitalocean.com,true,0,4.5,31
Hostinger,cloud-hosting,https://www.hostinger.com,false,2.99,4.5,15
SiteGround,cloud-hosting,https://www.siteground.com,false,2.99,4.4,15
Kinsta,cloud-hosting,https://kinsta.com,false,35,4.8,15
Vercel,cloud-hosting,https://vercel.com,true,0,4.5,22
Netlify,cloud-hosting,https://www.netlify.com,true,0,4.5,15
Fly.io,cloud-hosting,https://fly.io,true,0,4.3,15
Railway,cloud-hosting,https://railway.app,true,0,4.6,15
Render,cloud-hosting,https://render.com,true,0,4.4,17
Hetzner,cloud-hosting,https://www.hetzner.com,false,4.35,4.6,15
Vultr,cloud-hosting,https://www.vultr.com,true,0,4.4,15
Linode (Akamai Cloud),cloud-hosting,https://www.linode.com,true,0,4.3,15
Google Cloud Platform,cloud-hosting,https://cloud.google.com,true,0,4.5,15
Microsoft Azure,cloud-hosting,https://azure.microsoft.com,true,0,4.4,71
A2 Hosting,cloud-hosting,https://www.a2hosting.com,false,2.99,4.3,15
Bluehost,cloud-hosting,https://www.bluehost.com,false,2.95,3.7,15
Namecheap,cloud-hosting,https://www.namecheap.com,false,1.98,4.4,15
WP Engine,cloud-hosting,https://wpengine.com,false,20,4.4,15
Figma,design-tools,https://www.figma.com,true,0,4.7,38
Canva,design-tools,https://www.canva.com,true,0,4.7,15
Adobe XD,design-tools,https://www.adobe.com/products/xd.html,false,59.99,4.3,31
Sketch,design-tools,https://www.sketch.com,false,12,4.5,15
InVision,design-tools,https://www.invisionapp.com,true,0,4.4,15
Penpot,design-tools,https://penpot.app,true,0,4.3,15
Affinity Designer,design-tools,https://affinity.serif.com/en-us/designer/,false,69.99,4.5,27
Adobe Illustrator,design-tools,https://www.adobe.com/products/illustrator.html,false,22.99,4.6,15
Adobe Photoshop,design-tools,https://www.adobe.com/products/photoshop.html,false,9.99,4.6,15
Lunacy,design-tools,https://icons8.com/lunacy,true,0,4.5,15
Procreate,design-tools,https://procreate.com,false,12.99,4.6,18
Pixlr,design-tools,https://pixlr.com,true,0,4.3,15
Framer,design-tools,https://www.framer.com,true,0,4.5,15
Spline,design-tools,https://spline.design,true,0,4.5,15
Miro,design-tools,https://miro.com,true,0,4.8,15
Whimsical,design-tools,https://whimsical.com,true,0,4.6,15
QuickBooks Online,accounting,https://quickbooks.intuit.com,false,38,4,43
Xero,accounting,https://www.xero.com,false,25,4.3,15
FreshBooks,accounting,https://www.freshbooks.com,false,23,4.5,27
Wave,accounting,https://www.waveapps.com,true,0,4.4,15
Zoho Books,accounting,https://www.zoho.com/books/,true,0,4.5,35
Sage Business Cloud Accounting,accounting,https://www.sage.com/en-us/accounting-software/,false,10,4.1,15
